Country,State,County,Payam,HF,DHIS2 ID,Health Facility,HF Level,Colours,Block,LOT
South Sudan,Upper Nile State,Maban County,Khor El Amer Payam,Benamayo PHCC,hBzx4H2ir2Z,Benamayo PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Unity State,Rubkona County,Bentiu PoC Payam,Bentiu Sector 5,TXfULZ38mQ9,Bentiu Sector 5,   PHCU,RED,#REF!,#REF!
South Sudan,Unity State,Rubkona County,Bentiu Town Payam,Bentiu State HOSPITAL,Nefki6Dvi4V,Bentiu State HOSPITAL,  State Hospital,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Nzara County,Sakure Payam,Bereangburu PHCU,HddOoCAS036,Bereangburu PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Central Equatoria State,Lainya County,Lainya Payam,Bereka PHCU,EFvt3VR7Pd5,Bereka PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Western Bahr El Ghazal State,Wau County,Besselia Payam,Besellia PHCC,DmsTEpt7tni,Besellia PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Western Equatoria State,Maridi County,Maridi Payam,Betha Saida ECS PHCC,ROXfyH8Js0V,Betha Saida ECS PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Yirol West County,Abang Payam,Betoi PHCU,NFOC4bU0Mhu,Betoi PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Mayom County,Bieh Payam,Bieh PHCU,Zc2qOU9WYPZ,Bieh PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Akoka County,Akoka Payam,Bienythiang PHCU,WgIij85ZO9T,Bienythiang PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Ikotos County,Losite Payam,Biira PHCC,ppp5asdsqtC,Biira PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Torit County,Hiyala Payam,Hiyala PHCC,sp3Sl7MVAFd,Hiyala PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Ikotos County,Ikotos Payam,Huma PHCU,u3mXrhd2Y1W,Huma PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Lohutok Payam,Ibonni PHCU,nKg4bhRJsDQ,Ibonni PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Longiro Payam,Idali PHCU,bqzb4FGeoVN,Idali PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Ikotos County,Ikotos Payam,Ikwoto PHCC,oB2R4HNEPXE,Ikwoto PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Torit County,Hiyala Payam,Ilieu PHCU,icxITNm9CQu,Ilieu PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Arihilo Payam,Imedu PHCU,Ah7N6pGZmZW,Imedu PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Lafon/Lopa County,Imehejek Payam,Imehejek PHCC,ccoacZ7JsEb,Imehejek PHCC,   County Hospital,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Ikotos County,Hatire Payam,Imila PHCU,b7PJjOtc5TZ,Imila PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Ikotos County,Imotong Payam,Imotong PHCC,IM399bqfx1t,Imotong PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Torit County,Imurok Payam,Imurok PHCU,vLqRoVWutHH,Imurok PHCU,   PHCU,Green,#REF!,#REF!
